factor,eigenvalue
1,7.86907121679377
2,3.03229416057108
3,2.44746952817197
4,1.89427447930047
5,1.53958082816722
6,1.43119201347929
7,1.33144122515489
8,1.27885836259843
9,1.20018141584564
10,1.17186811111109
11,1.14362996595125
12,1.11631850551323
13,1.07108715430899
14,1.04999283208254
15,1.04316652577066
16,1.02376475178855
17,1.02106171624654
18,1.01206027085125
19,0.999693844028178
20,0.989503457796723
21,0.972786712260311
22,0.961003579558583
23,0.951246779844065
24,0.94474184078375
25,0.943239267251102
26,0.940877170698105
27,0.928692408408504
28,0.914095893143044
29,0.912690462679439
30,0.909983272756562
31,0.908069328053128
32,0.886864225510112
33,0.878726809385769
34,0.877983769607057
35,0.865182402786924
36,0.85900540713745
37,0.85329691033998
38,0.849578354309102
39,0.845166267795523
40,0.818156073744884
41,0.810911230317802
42,0.795879407213558
43,0.786666048341046
44,0.779857434570823
45,0.774069391535243
46,0.768079323176678
47,0.75246546053684
48,0.739148375898542
49,0.722340539378376
50,0.712487168846327
51,0.677648199818925
52,0.669633349122707
53,0.655238545285733
54,0.647581688794468
55,0.630495124638881
56,0.615462724151185
57,0.593164088651339
58,0.510372037196362
59,0.478903992341754
60,0.460896659696818
61,0.426971868900445
62,0.351890379300304
63,0.326429231053867
64,0.277910801288306
65,0.161050762950246
66,0.101908468705854
67,0.084640396702393
